title,author,content,category
Start demolition of Supertech's 40-storey twin tower in Noida within 2 weeks: SC,Ridham Gambhir,The Supreme Court on Monday ordered that the demolition works of Supertech’s 40-storied twin towers in Noida will start within two weeks. The court also directed NOIDA CEO to convene a meeting within 72 hours to finalise the schedule for demolition. It had also asked Supertech to refund the money with interest to all home-buyers by February 28.,business
The focus is on growth and adoption for Digital India: Windmill Capital,Roshan Gupta,"Union Budget 2022 is focused on promoting digital economy, fintech and technology-enabled development, said Windmill Capital Pvt Ltd, a SEBI-registered research analyst- INH200007645. They added that unchanged financial support from government for this ecosystem will encourage further adoption of digital payments. WCPL creates baskets of stocks called smallcases on themes like digital inclusion.",business
"COVID, you did your worst & stole our voice: Mahindra as Mangeshkar is cremated",Sakshita Khosla,"Businessman Anand Mahindra on Sunday shared a picture from veteran singer Lata Mangeshkar's funeral and said, ""COVID-19, you did your worst while leaving. (You) stole our voice. I hate you."" The 92-year-old Bharat Ratna awardee was laid to rest with full state honours in the presence of Prime Minister Narendra Modi in Mumbai on Sunday evening.",business
RBI's digital rupee blockchain would be able to trace all transactions: Report,Pragya Swastik,"The digital rupee blockchain being developed by the RBI would be able to trace all transactions, unlike the current system of mobile wallets offered by private companies, PTI reported. The units issued in the digital rupee would be included in the currency in circulation, it added. The RBI's digital currency is likely to debut by early 2023.",business
"Meta says data regulations may cause Facebook, Instagram shutdown in Europe",Pragya Swastik,"Meta in its annual report to the US SEC said it might have to stop operating Instagram and Facebook in Europe due to data regulations. Meta said the regulations could adversely affect its ability to target ads, thus impacting its financial results. Meta said the services couldn't be offered in Europe if a new transatlantic data transfer framework isn't adopted.",business
"Wishy-washy words not needed, say sorry: Shiv Sena MP to Hyundai India",Pragya Swastik,"Shiv Sena's MP Priyanka Chaturvedi tweeted to Hyundai India, ""Wishy-washy words not needed...All you need to say is - we're unequivocally sorry."" Hyundai India had issued a statement after Hyundai Pakistan's social media posts supported separatists in Kashmir. Hyundai India said, ""The unsolicited post linking Hyundai Motor India is offending our unparalleled service to this great country.""",business
We deeply apologise: KFC India after brand's Pak account shares post on Kashmir,Ridham Gambhir,"KFC India on Monday issued an apology after its Pakistan arm shared a social media post supporting 'Kashmir Day' on February 5, which led to a controversy. Taking to Twitter, KFC wrote, ""We deeply apologise for a post that was published on some KFC social media channels outside the country. We...respect India, and remain steadfast in...serving... Indians with pride.""",business
"Adani Wilmar shares to debut on BSE, NSE tomorrow",Pragya Swastik,"The shares of one of India's largest FMCG companies, Adani Wilmar, will debut on the Bombay Stock Exchange (BSE) and the National Stock Exchange (NSE) on Tuesday. Adani Wilmar's IPO was subscribed 17.37 times during January 27-31, with support from all kinds of investors. The listing price could be around ₹265/share against the issue price of ₹230/share, according to experts.",business
Hyundai India issues statement after Hyundai Pak's social media posts on Kashmir,Pragya Swastik,"Hyundai India issued a statement on Sunday after Hyundai Pakistan's social media posts supported ""Kashmiri brothers"" in their ""struggle for freedom"", which were later deleted. As Indian users called for the Hyundai brand's boycott, Hyundai India said, ""The unsolicited social media post linking Hyundai Motor India is offending our unparalleled commitment and service to this great country.""",business
"Sensex falls over 1,000 points to end at 57,621 dragged by financial, FMCG stocks",Pragya Swastik,"The Sensex on Monday slumped 1,023 points to settle at 57,621, dragged by financial, auto, IT and FMCG stocks. The Nifty 50 index fell 302 points to close at 17,213 points. A sharp cut in Monday's trading session comes amid heavy selling by FIIs amid rising US bond yields and crude oil prices.",business
